besoins;;;
0;Antoine_C;JD;
1;Brigitte_C;AD;
2;Brigitte_C;JD;
3;Cedric_C;IF;
4;Dominique_C;IF;
5;Dominique_C;BR;
6;Estelle_C;IF;
7;Estelle_C;AD;
8;Florian_C;BR;
9;Florian_C;JD;
10;Florian_C;AD;
11;Gisele_C;BR;
12;Gisele_C;IF;
13;Hugo_C;IF;
competences;;;
0;Alice;BR;6
1;Alice;IF;1
2;Alice;AD;6
3;Bernard;JD;2
4;Bernard;BR;7
5;Bernard;MN;8
6;Bernard;AD;6
7;Charlotte;MN;1
8;Charlotte;AD;6
9;David;JD;7
10;Emma;JD;10
11;Emma;AD;8
12;Francois;IF;8
13;Francois;AD;9
14;Gabriel;JD;1
15;Gabriel;BR;4
16;Gabriel;IF;4
17;Helene;BR;10
18;Helene;IF;7
