besoins;;;
0;Antoine_C;MN;
1;Brigitte_C;MN;
2;Cedric_C;IF;
3;Cedric_C;AD;
4;Cedric_C;JD;
5;Dominique_C;MN;
6;Estelle_C;AD;
7;Estelle_C;MN;
8;Florian_C;IF;
9;Gisele_C;BR;
10;Hugo_C;IF;
11;Hugo_C;AD;
competences;;;
0;Alice;JD;1
1;Alice;BR;8
2;Alice;IF;2
3;Bernard;JD;6
4;Bernard;MN;6
5;Bernard;IF;5
6;Charlotte;JD;4
7;Charlotte;BR;6
8;Charlotte;MN;2
9;Charlotte;IF;2
10;David;JD;7
11;David;BR;2
12;David;IF;5
13;David;AD;2
14;Emma;JD;9
15;Emma;BR;10
16;Emma;MN;9
17;Emma;IF;6
18;Emma;AD;2
19;Francois;JD;7
20;Francois;AD;9
21;Gabriel;JD;2
22;Gabriel;BR;6
23;Gabriel;IF;2
24;Helene;BR;6
25;Helene;IF;7
26;Helene;AD;10
27;Isabelle;MN;4
28;Isabelle;AD;10
