besoins
0;Antoine_C;BR;
1;Brigitte_C;JD;
2;Cedric_C;IF;
3;Dominique_C;JD;
4;Estelle_C;AD;
5;Florian_C;MN;
6;Gisele_C;BR;
7;Hugo_C;IF;
8;Ines_C;MN;
9;Julien_C;MN;
10;Katia_C;AD;
11;Laurent_C;JD;
12;Manon_C;IF;
13;Noemie_C;IF;
14;Omar_C;AD;
competences;;;;
0;Alice;JD;1;
1;Bernard;MN;9;
2;Charlotte;JD;5;
3;Charlotte;BR;9;
4;Charlotte;IF;5;
5;David;JD;8;
6;David;MN;8;
7;David;AD;9;
8;Emma;MN;5;
9;Emma;IF;2;
10;Francois;IF;7;
11;Gabriel;BR;2;
12;Gabriel;AD;9;
13;Helene;JD;6;
14;Helene;MN;2;
15;Helene;IF;3;
16;Isabelle;JD;1;
17;Isabelle;BR;6;
18;Isabelle;MN;1;
19;Isabelle;AD;1;
20;Jacques;JD;4;
21;Jacques;BR;5;
22;Karine;MN;1;
23;Karine;IF;2;
24;Louis;JD;1;
25;Louis;MN;7;
26;Louis;AD;7;
27;Marie;BR;3;
28;Marie;IF;2;
29;Marie;AD;8;
30;Nicolas;MN;7;
31;Olivier;BR;7;
