besoins
0;Antoine_C;IF;
1;Brigitte_C;IF;
2;Brigitte_C;MN;
3;Cedric_C;BR;
4;Cedric_C;AD;
5;Dominique_C;AD;
6;Dominique_C;BR;
7;Estelle_C;AD;
8;Estelle_C;IF;
9;Estelle_C;JD;
10;Florian_C;BR;
11;Florian_C;JD;
12;Gisele_C;MN;
13;Hugo_C;BR;
14;Hugo_C;AD;
15;Hugo_C;IF;
16;Ines_C;JD;
17;Julien_C;JD;
18;Katia_C;MN;
19;Katia_C;BR;
20;Katia_C;JD;
21;Laurent_C;BR;
22;Manon_C;AD;
23;Noemie_C;JD;
24;Noemie_C;IF;
25;Noemie_C;BR;
26;Omar_C;JD;
27;Omar_C;MN;
28;Omar_C;BR;
29;Pierre_C;MN;
30;Pierre_C;JD;
31;Pierre_C;IF;
32;Quentin_C;JD;
33;Quentin_C;IF;
34;Quentin_C;AD;
35;Roxane_C;BR;
36;Roxane_C;JD;
37;Roxane_C;MN;
38;Stephane_C;JD;
39;Stephane_C;BR;
40;Stephane_C;MN;
41;Thierry_C;JD;
42;Ugo_C;JD;
43;Ugo_C;AD;
44;Ugo_C;MN;
45;Vanessa_C;IF;
46;Vanessa_C;AD;
47;William_C;AD;
48;Xenia_C;JD;
49;Xenia_C;MN;
50;Yohan_C;MN;
51;Yohan_C;JD;
52;Yohan_C;IF;
53;Zoe_C;JD;
competences;;;;
0;Alice;BR;1;
1;Bernard;BR;1;
2;Charlotte;MN;6;
3;Charlotte;IF;2;
4;Charlotte;AD;2;
5;David;JD;2;
6;David;MN;4;
7;Emma;BR;4;
8;Emma;MN;6;
9;Francois;BR;10;
10;Francois;MN;10;
11;Francois;AD;4;
12;Gabriel;JD;6;
13;Gabriel;MN;2;
14;Helene;IF;10;
15;Helene;AD;8;
16;Isabelle;JD;1;
17;Isabelle;BR;9;
18;Isabelle;MN;4;
19;Isabelle;IF;1;
20;Isabelle;AD;5;
21;Jacques;JD;8;
22;Jacques;BR;8;
23;Jacques;IF;4;
24;Jacques;AD;4;
25;Karine;IF;4;
26;Louis;JD;8;
27;Louis;BR;6;
28;Louis;MN;5;
29;Louis;IF;4;
30;Marie;BR;10;
31;Marie;MN;1;
32;Marie;AD;10;
33;Nicolas;BR;6;
34;Nicolas;MN;6;
35;Nicolas;IF;6;
36;Olivier;BR;7;
37;Olivier;IF;6;
38;Olivier;AD;4;
39;Patricia;BR;3;
40;Patricia;MN;7;
41;Patricia;IF;9;
42;Patricia;AD;9;
43;Quentin;MN;10;
44;Quentin;IF;4;
45;Quentin;AD;5;
46;Raphael;JD;9;
47;Raphael;AD;10;
48;Sophie;JD;10;
49;Sophie;IF;8;
50;Thomas;JD;9;
51;Thomas;IF;4;
52;Thomas;AD;4;
53;Ursule;JD;9;
54;Ursule;BR;9;
55;Ursule;MN;1;
56;Ursule;IF;2;
57;Ursule;AD;8;
58;Valentin;JD;4;
59;Valentin;AD;9;
60;Wendy;JD;5;
61;Wendy;IF;3;
62;Xavier;MN;4;
63;Xavier;IF;1;
64;Xavier;AD;7;
65;Yasmine;BR;2;
66;Yasmine;AD;5;
67;Zacharie;JD;8;
68;Zacharie;BR;2;
