besoins
0;Antoine_C;AD;
1;Antoine_C;MN;
2;Brigitte_C;JD;
3;Brigitte_C;MN;
4;Cedric_C;IF;
5;Cedric_C;JD;
6;Dominique_C;IF;
7;Dominique_C;AD;
8;Dominique_C;BR;
9;Estelle_C;MN;
10;Florian_C;IF;
11;Florian_C;MN;
12;Florian_C;JD;
13;Gisele_C;IF;
14;Gisele_C;BR;
15;Hugo_C;MN;
16;Ines_C;IF;
17;Ines_C;JD;
18;Ines_C;MN;
19;Julien_C;JD;
20;Julien_C;BR;
21;Julien_C;AD;
competences;;;;
0;Alice;IF;5;
1;Bernard;MN;6;
2;Charlotte;JD;2;
3;Charlotte;AD;10;
4;David;MN;2;
5;David;AD;1;
6;Emma;JD;6;
7;Emma;MN;3;
8;Francois;JD;8;
9;Francois;MN;6;
10;Francois;IF;7;
11;Gabriel;BR;9;
12;Gabriel;MN;8;
13;Gabriel;IF;4;
14;Gabriel;AD;2;
15;Helene;JD;4;
16;Helene;BR;5;
17;Isabelle;JD;3;
18;Isabelle;BR;3;
19;Isabelle;MN;10;
20;Isabelle;IF;10;
21;Jacques;IF;6;
22;Jacques;AD;6;
