besoins
0;Antoine_C;IF;
1;Antoine_C;AD;
2;Antoine_C;MN;
3;Brigitte_C;JD;
4;Cedric_C;BR;
5;Cedric_C;MN;
6;Cedric_C;IF;
7;Dominique_C;MN;
8;Dominique_C;BR;
9;Dominique_C;IF;
10;Estelle_C;BR;
11;Florian_C;MN;
12;Florian_C;BR;
13;Gisele_C;AD;
14;Gisele_C;IF;
15;Gisele_C;BR;
16;Hugo_C;AD;
17;Hugo_C;IF;
18;Ines_C;BR;
19;Ines_C;JD;
20;Ines_C;MN;
21;Julien_C;JD;
22;Julien_C;AD;
23;Julien_C;MN;
24;Katia_C;AD;
25;Katia_C;JD;
26;Laurent_C;AD;
27;Manon_C;BR;
28;Noemie_C;IF;
29;Omar_C;JD;
30;Omar_C;BR;
31;Omar_C;MN;
32;Pierre_C;JD;
33;Quentin_C;IF;
34;Roxane_C;AD;
35;Roxane_C;JD;
36;Roxane_C;MN;
37;Stephane_C;AD;
38;Thierry_C;JD;
39;Ugo_C;MN;
40;Ugo_C;IF;
41;Vanessa_C;MN;
42;William_C;IF;
43;Xenia_C;AD;
44;Xenia_C;IF;
45;Xenia_C;JD;
46;Yohan_C;IF;
47;Yohan_C;AD;
48;Zoe_C;MN;
49;Zoe_C;AD;
competences;;;;
0;Alice;MN;5;
1;Alice;IF;1;
2;Alice;AD;5;
3;Bernard;BR;9;
4;Bernard;IF;10;
5;Bernard;AD;7;
6;Charlotte;JD;9;
7;David;BR;5;
8;David;AD;1;
9;Emma;BR;10;
10;Emma;MN;4;
11;Emma;IF;4;
12;Francois;BR;9;
13;Francois;AD;3;
14;Gabriel;JD;4;
15;Gabriel;IF;6;
16;Gabriel;AD;3;
17;Helene;MN;7;
18;Isabelle;AD;9;
19;Jacques;JD;5;
20;Karine;JD;10;
21;Louis;MN;3;
22;Marie;BR;6;
23;Marie;MN;7;
24;Nicolas;JD;1;
25;Nicolas;IF;10;
26;Nicolas;AD;5;
27;Olivier;JD;9;
28;Olivier;BR;1;
29;Olivier;MN;9;
30;Patricia;JD;9;
31;Patricia;MN;6;
32;Patricia;AD;5;
33;Quentin;JD;9;
34;Quentin;BR;5;
35;Quentin;MN;2;
36;Quentin;IF;7;
37;Quentin;AD;5;
38;Raphael;JD;6;
39;Raphael;BR;9;
40;Raphael;IF;10;
41;Sophie;IF;8;
42;Thomas;JD;9;
43;Thomas;BR;4;
44;Thomas;MN;2;
45;Thomas;AD;6;
46;Ursule;BR;7;
47;Ursule;IF;2;
48;Ursule;AD;7;
49;Valentin;MN;6;
50;Wendy;JD;6;
51;Wendy;BR;1;
52;Wendy;MN;5;
53;Wendy;AD;6;
54;Xavier;MN;5;
55;Xavier;IF;6;
56;Xavier;AD;1;
57;Yasmine;JD;5;
58;Yasmine;IF;4;
59;Yasmine;AD;8;
60;Zacharie;BR;9;
61;Zacharie;MN;9;
62;Zacharie;IF;3;
